datetime_beginning_utc,datetime_beginning_ept,area,solar_generation_mw
1/1/2020 4:00:00 PM,1/1/2020 11:00:00 AM,MIDATL,339.043
1/1/2020 4:00:00 PM,1/1/2020 11:00:00 AM,OTHER,3.750
1/1/2020 4:00:00 PM,1/1/2020 11:00:00 AM,SOUTH,664.519
1/1/2020 4:00:00 PM,1/1/2020 11:00:00 AM,WEST,57.619
1/1/2020 4:00:00 PM,1/1/2020 11:00:00 AM,RTO,1061.181
1/1/2020 4:00:00 PM,1/1/2020 11:00:00 AM,RFC,396.662
1/1/2020 5:00:00 PM,1/1/2020 12:00:00 PM,MIDATL,328.541
1/1/2020 5:00:00 PM,1/1/2020 12:00:00 PM,OTHER,4.242
1/1/2020 5:00:00 PM,1/1/2020 12:00:00 PM,SOUTH,631.874
1/1/2020 5:00:00 PM,1/1/2020 12:00:00 PM,WEST,56.976
1/1/2020 5:00:00 PM,1/1/2020 12:00:00 PM,RTO,1017.391
1/1/2020 5:00:00 PM,1/1/2020 12:00:00 PM,RFC,385.517
1/1/2020 6:00:00 PM,1/1/2020 1:00:00 PM,MIDATL,288.325
1/1/2020 6:00:00 PM,1/1/2020 1:00:00 PM,OTHER,4.865
1/1/2020 6:00:00 PM,1/1/2020 1:00:00 PM,SOUTH,658.998
1/1/2020 6:00:00 PM,1/1/2020 1:00:00 PM,WEST,54.084
1/1/2020 6:00:00 PM,1/1/2020 1:00:00 PM,RTO,1001.407
1/1/2020 6:00:00 PM,1/1/2020 1:00:00 PM,RFC,342.409
1/1/2020 7:00:00 PM,1/1/2020 2:00:00 PM,MIDATL,235.355
1/1/2020 7:00:00 PM,1/1/2020 2:00:00 PM,OTHER,4.994
1/1/2020 7:00:00 PM,1/1/2020 2:00:00 PM,SOUTH,627.289
1/1/2020 7:00:00 PM,1/1/2020 2:00:00 PM,WEST,46.297
1/1/2020 7:00:00 PM,1/1/2020 2:00:00 PM,RTO,908.941
1/1/2020 7:00:00 PM,1/1/2020 2:00:00 PM,RFC,281.652
1/1/2020 8:00:00 PM,1/1/2020 3:00:00 PM,MIDATL,134.841
1/1/2020 8:00:00 PM,1/1/2020 3:00:00 PM,OTHER,1.961
1/1/2020 8:00:00 PM,1/1/2020 3:00:00 PM,SOUTH,428.523
1/1/2020 8:00:00 PM,1/1/2020 3:00:00 PM,WEST,25.133
1/1/2020 8:00:00 PM,1/1/2020 3:00:00 PM,RTO,588.497
1/1/2020 8:00:00 PM,1/1/2020 3:00:00 PM,RFC,159.974
1/1/2020 9:00:00 PM,1/1/2020 4:00:00 PM,MIDATL,17.028
1/1/2020 9:00:00 PM,1/1/2020 4:00:00 PM,OTHER,0.233
1/1/2020 9:00:00 PM,1/1/2020 4:00:00 PM,SOUTH,91.641
1/1/2020 9:00:00 PM,1/1/2020 4:00:00 PM,WEST,5.576
1/1/2020 9:00:00 PM,1/1/2020 4:00:00 PM,RTO,114.245
1/1/2020 9:00:00 PM,1/1/2020 4:00:00 PM,RFC,22.604
1/1/2020 10:00:00 PM,1/1/2020 5:00:00 PM,MIDATL,-1.172
1/1/2020 10:00:00 PM,1/1/2020 5:00:00 PM,OTHER,-0.026
1/1/2020 10:00:00 PM,1/1/2020 5:00:00 PM,SOUTH,-1.643
1/1/2020 10:00:00 PM,1/1/2020 5:00:00 PM,WEST,-0.173
1/1/2020 10:00:00 PM,1/1/2020 5:00:00 PM,RTO,-2.988
1/1/2020 10:00:00 PM,1/1/2020 5:00:00 PM,RFC,-1.345
1/1/2020 11:00:00 PM,1/1/2020 6:00:00 PM,MIDATL,-1.173
1/1/2020 11:00:00 PM,1/1/2020 6:00:00 PM,OTHER,-0.017
1/1/2020 11:00:00 PM,1/1/2020 6:00:00 PM,SOUTH,-1.550
1/1/2020 11:00:00 PM,1/1/2020 6:00:00 PM,WEST,-0.251
1/1/2020 11:00:00 PM,1/1/2020 6:00:00 PM,RTO,-2.974
1/1/2020 11:00:00 PM,1/1/2020 6:00:00 PM,RFC,-1.424
1/2/2020 12:00:00 AM,1/1/2020 7:00:00 PM,MIDATL,-1.148
1/2/2020 12:00:00 AM,1/1/2020 7:00:00 PM,OTHER,-0.018
1/2/2020 12:00:00 AM,1/1/2020 7:00:00 PM,SOUTH,-1.825
1/2/2020 12:00:00 AM,1/1/2020 7:00:00 PM,WEST,-0.251
1/2/2020 12:00:00 AM,1/1/2020 7:00:00 PM,RTO,-3.224
1/2/2020 12:00:00 AM,1/1/2020 7:00:00 PM,RFC,-1.399
1/2/2020 1:00:00 AM,1/1/2020 8:00:00 PM,MIDATL,-1.171
1/2/2020 1:00:00 AM,1/1/2020 8:00:00 PM,OTHER,-0.017
1/2/2020 1:00:00 AM,1/1/2020 8:00:00 PM,SOUTH,-1.648
1/2/2020 1:00:00 AM,1/1/2020 8:00:00 PM,WEST,-0.264
1/2/2020 1:00:00 AM,1/1/2020 8:00:00 PM,RTO,-3.083
1/2/2020 1:00:00 AM,1/1/2020 8:00:00 PM,RFC,-1.435
1/2/2020 2:00:00 AM,1/1/2020 9:00:00 PM,MIDATL,-1.192
1/2/2020 2:00:00 AM,1/1/2020 9:00:00 PM,OTHER,-0.017
1/2/2020 2:00:00 AM,1/1/2020 9:00:00 PM,SOUTH,-1.704
1/2/2020 2:00:00 AM,1/1/2020 9:00:00 PM,WEST,-0.251
1/2/2020 2:00:00 AM,1/1/2020 9:00:00 PM,RTO,-3.147
1/2/2020 2:00:00 AM,1/1/2020 9:00:00 PM,RFC,-1.443
1/2/2020 3:00:00 AM,1/1/2020 10:00:00 PM,MIDATL,-1.207
1/2/2020 3:00:00 AM,1/1/2020 10:00:00 PM,OTHER,-0.017
1/2/2020 3:00:00 AM,1/1/2020 10:00:00 PM,SOUTH,-1.654
1/2/2020 3:00:00 AM,1/1/2020 10:00:00 PM,WEST,-0.245
1/2/2020 3:00:00 AM,1/1/2020 10:00:00 PM,RTO,-3.106
